fips,full,year,NO2
48,Texas,2005,0.02712176794002142092
48,Texas,2006,0.02567421224489795918
48,Texas,2007,0.02428304119464469619
48,Texas,2008,0.02472001047753374975
48,Texas,2009,0.02398075785313085084
48,Texas,2010,0.02523374307906791476
48,Texas,2011,0.02757172353202846975
48,Texas,2012,0.02716339853095487933
48,Texas,2013,0.02647803686553873553
48,Texas,2014,0.02529148644606468499
48,Texas,2015,0.02490359157716223855
48,Texas,2016,0.02651483428571428571
49,Utah,2011,0.02701141828254847645
49,Utah,2012,0.03699409153952843273
49,Utah,2013,0.03455843460764587525
49,Utah,2014,0.02741368152866242038
49,Utah,2015,0.02773381422924901186
49,Utah,2016,0.01330761904761904762
51,Virginia,2000,0.02260862175962293794
51,Virginia,2006,0.02557074373716632444
51,Virginia,2007,0.02976913753581661891
51,Virginia,2008,0.02687980072840790843
51,Virginia,2009,0.02645143979057591623
51,Virginia,2010,0.03472690058479532164
51,Virginia,2011,0.03316353724247226624
51,Virginia,2012,0.03105734272997032641
51,Virginia,2013,0.02744015909090909091
51,Virginia,2014,0.02996517488076311606
51,Virginia,2015,0.02929027519379844961
51,Virginia,2016,0.02290790000000000000
53,Washington,2013,0.01516210810810810811
53,Washington,2014,0.02997819047619047619
53,Washington,2015,0.02146849404761904762
53,Washington,2016,0.01590124137931034483
55,Wisconsin,2006,0.02308155459770114943
55,Wisconsin,2007,0.01514241935483870968
56,Wyoming,2007,0.04041620498614958449
56,Wyoming,2008,0.03981748874598070740
56,Wyoming,2011,0.03789019063545150502
56,Wyoming,2012,0.03704996250000000000
56,Wyoming,2013,0.03927690655509065551
56,Wyoming,2014,0.03730298043728423475
56,Wyoming,2015,0.03661506220984215413
56,Wyoming,2016,0.03914851111111111111
80,Country Of Mexico,2006,0.02301142311770943796
80,Country Of Mexico,2007,0.02246138214285714286
80,Country Of Mexico,2008,0.02114149357326478149
80,Country Of Mexico,2009,0.02232112962962962963
80,Country Of Mexico,2010,0.02218747353760445682
80,Country Of Mexico,2011,0.01682285342789598109
