NAPS_ID,City,P_T,Location,Latitude,Longitude,Elevation,Classification,ID,Minimum,10th_Percentile,30th_Percentile,50th_Percentile,70th_Percentile,80th_Percentile,90th_Percentile,95th_Percentile,98th_Percentile,99th_Percentile,99.9th_Percentile,Maximum,Percent_Completeness,January,February,March,April,May,June,July,August,September,October,November,December,Mean,Standard_Deviation,Year
55101,Senneterre,QC,Chemin Riviere Bell,48.431648,-77.196674,299,"RB,NU,P1,F",DMean,8,14,21,27,33,36,39,41,43,44,52,52,98.633879781,30,35,37,37,34,25,17,16,17,20,24,27,26.72,9.224292522,2020
55301,Saint-Jean-Sur-Richelieu,QC,"Ferme Exp., 1134 Route 219",45.29413,-73.34857,35,"RB,SU,P2,A",DMean,8,17,22,27,32,35,37,39,41,42,49,49,99.453551913,28,34,37,35,32,27,26,20,21,21,23,22,27.24,7.780164645,2020
55502,Frelighsburg,QC,Frelighsburg,45.05006,-72.86161,235,"RB,NU,P2,F",DMean,11,22,27,31,37,39,42,44,47,49,52,52,99.453551913,32,36,40,39,37,32,31,26,25,26,30,27,31.56,7.741369319,2020
55702,Lévis,QC,200 Rue Des Commandeurs,46.806029,-71.167506,106,"PE,LU,P3,R",DMean,5,17,22,27,32,35,39,41,42,45,52,52,97.540983607,26,30,37,37,35,30,24,20,20,21,22,24,27.1,8.190808259,2020
60104,Ottawa,ON,Rideau & Wurtemburg,45.43433,-75.676,68,"PE,LU,P6,R",DMean,1,14,20,25,30,33,36,39,41,43,51,51,99.726775956,23,27,32,34,34,31,25,20,20,19,20,19,25.21,8.492302323,2020
60204,Windsor,ON,467 University Ave. West,42.315778,-83.043667,176,"T,LU,P4,R",DMean,6,16,23,27,31,34,39,43,47,49,53,53,100,20,25,26,32,32,38,37,32,25,22,22,17,27.32,8.705733361,2020
60211,Windsor,ON,College & South St. / 928 South St.,42.292889,-83.073139,180,"T,LU,P3,R",DMean,7,16,22,26,29,33,37,40,44,45,49,49,99.180327869,21,26,25,30,30,35,34,31,23,21,21,17,26.01,7.905497293,2020
60304,Kingston,ON,Near 23 Beechgrove Lane,44.21987,-76.52113,84,"PE,LU,P3,R",DMean,11,20,26,30,34,37,41,44,48,50,53,53,100,26,32,34,38,34,35,32,29,26,24,27,24,30.08,7.977536245,2020
60410,Toronto,ON,Lawrence & Kennedy,43.74792,-79.27406,168,"T,LU,P6,I",DMean,6,16,22,26,30,32,37,41,44,47,51,51,100,21,26,28,34,31,33,31,27,23,19,22,19,26.09,8.038668039,2020
60430,Toronto,ON,125 Resources Road,43.709444,-79.5435,141,"PE,LU,P6,C",DMean,4,13,19,23,27,30,34,38,41,43,47,47,99.453551913,19,24,26,31,28,30,27,25,19,17,19,16,23.35,8.077234534,2020
60434,Mississauga,ON,3359 Mississauga Road,43.54697,-79.65869,105,"PE,LU,P5,C",DMean,3,15,21,26,30,32,36,37,42,44,47,47,99.726775956,23,27,28,33,30,31,29,25,21,19,22,20,25.61,7.758931144,2020
60435,Toronto,ON,461 Kipling Avenue,43.610761,-79.52194,92,"PS,LU,P5,I",DMean,5,13,19,23,27,28,33,35,37,42,45,45,100,18,24,25,30,27,29,26,23,20,16,19,17,22.93,7.292259635,2020
60438,Toronto,ON,401w - 125 Resources Rd.,43.711106,-79.543425,139,"T,LU,P6,C",DMean,3,9,14,18,23,26,30,34,37,39,44,44,96.448087432,15,19,21,27,24,25,22,20,16,13,16,12,19.01,7.911039021,2020
60440,Toronto,ON,4905 Dufferin Street,43.78042,-79.46752,,"PE,LU,P6,I",DMean,5,15,21,26,30,33,36,39,46,49,52,52,98.633879781,21,27,27,33,31,34,32,27,22,19,20,18,25.92,8.396671073,2020
60445,Toronto,ON,55 John Street,43.64543,-79.38908,85,"T,LU,P6,C",DMean,7,15,20,24,28,30,34,38,43,45,48,48,98.360655738,19,24,25,29,27,32,29,25,22,18,22,18,24.2,7.594353278,2020
60450,Brampton,ON,109 Mclaughlin Rd. S.,43.669567,-79.76567,217,"PE,LU,P5,C",DMean,6,18,24,29,33,36,39,42,46,48,53,53,99.180327869,24,31,30,36,33,36,33,28,24,21,23,21,28.39,8.653882305,2020
60512,Hamilton,ON,Elgin & Kelly,43.25778,-79.86167,90,"PS,LU,P5,R",DMean,1,15,21,26,30,33,37,42,47,50,52,52,99.726775956,21,27,27,32,28,34,33,28,24,20,22,19,26.3,8.820708401,2020
